Id,FixHex,OemHex,FixDelta[ns],OemDelta[ns],OemMinusFix[ns],SameByte
554,00,08,9900.00,9950.00,50.00,0
555,00,00,9900.00,10000.00,100.00,1
556,00,00,9850.00,9950.00,100.00,1
557,00,00,9900.00,9950.00,50.00,1
558,00,00,9900.00,10000.00,100.00,1
559,EC,A4,9850.00,9950.00,100.00,0
560,FF,FF,49525150.00,48975150.00,-550000.00,1
561,FF,FF,10950.00,10950.00,0.00,1
562,02,0D,10950.00,11000.00,50.00,0
563,04,04,10950.00,10950.00,0.00,1
564,02,02,11000.00,10950.00,-50.00,1
565,38,38,10950.00,10950.00,0.00,1
566,11,11,10950.00,54800.00,43850.00,1
567,AE,A3,64800.00,129600.00,64800.00,0
568,FF,FF,29100.00,45050.00,15950.00,1
569,FF,FF,9850.00,9950.00,100.00,1
570,02,0D,9900.00,10000.00,100.00,0
571,13,13,9900.00,9950.00,50.00,1
572,00,00,9850.00,9950.00,100.00,1
573,02,CC,9900.00,10000.00,100.00,0
574,00,08,9900.00,9950.00,50.00,0
575,00,00,9900.00,9950.00,50.00,1
576,80,00,9850.00,10000.00,150.00,0
577,04,00,9900.00,9950.00,50.00,0
578,00,00,9900.00,9950.00,50.00,1
579,78,7A,9850.00,10000.00,150.00,0
580,00,19,9900.00,9950.00,50.00,0
581,00,00,9900.00,9950.00,50.00,1
582,00,00,9850.00,10000.00,150.00,1
583,00,00,9900.00,9950.00,50.00,1
584,01,CC,9900.00,9950.00,50.00,0
585,00,08,9850.00,10000.00,150.00,0
586,00,00,9900.00,9950.00,50.00,1
587,00,00,9900.00,9950.00,50.00,1
588,00,00,9850.00,10000.00,150.00,1
589,00,00,9900.00,9950.00,50.00,1
590,EB,A4,9900.00,9950.00,50.00,0
591,FF,FF,49672000.00,49527500.00,-144500.00,1
592,FF,FF,10950.00,10950.00,0.00,1
593,02,0D,10950.00,10950.00,0.00,0
594,04,04,10950.00,10950.00,0.00,1
595,02,02,10950.00,11000.00,50.00,1
596,38,38,10950.00,10950.00,0.00,1
597,11,11,18950.00,115600.00,96650.00,1
598,AE,A3,61750.00,93700.00,31950.00,0
