Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
520,00,00,12850.00,9950.00,-2900.00,1
521,00,00,12800.00,10000.00,-2800.00,1
522,01,CC,12850.00,9950.00,-2900.00,0
523,00,08,12850.00,9950.00,-2900.00,0
524,00,00,12850.00,10000.00,-2850.00,1
525,00,00,12850.00,9950.00,-2900.00,1
526,00,00,12800.00,9950.00,-2850.00,1
527,00,00,12850.00,10000.00,-2850.00,1
528,CE,A4,12850.00,9950.00,-2900.00,0
529,FF,FF,50046800.00,49951900.00,-94900.00,1
530,FF,FF,10950.00,10950.00,0.00,1
531,02,0D,11000.00,11000.00,0.00,0
532,04,04,10950.00,10950.00,0.00,1
533,02,02,10950.00,10950.00,0.00,1
534,38,38,10950.00,10950.00,0.00,1
535,11,11,115600.00,133600.00,18000.00,1
536,AE,A3,111700.00,122550.00,10850.00,0
537,FF,FF,37200.00,45700.00,8500.00,1
538,FF,FF,12850.00,10000.00,-2850.00,1
539,02,0D,12850.00,9950.00,-2900.00,0
540,13,13,12850.00,9950.00,-2900.00,1
541,00,00,12800.00,10000.00,-2800.00,1
542,00,CC,12850.00,9950.00,-2900.00,0
543,00,08,12850.00,10000.00,-2850.00,0
544,00,00,12850.00,9950.00,-2900.00,1
545,80,00,12800.00,9950.00,-2850.00,0
546,1F,00,12850.00,10000.00,-2850.00,0
547,04,00,12850.00,9950.00,-2900.00,0
548,78,7A,12850.00,9950.00,-2900.00,0
549,00,19,12800.00,10000.00,-2800.00,0
550,00,00,12850.00,9950.00,-2900.00,1
551,00,00,12850.00,9950.00,-2900.00,1
552,00,00,12850.00,10000.00,-2850.00,1
553,01,CC,12800.00,9950.00,-2850.00,0
554,00,08,12850.00,9950.00,-2900.00,0
555,00,00,12850.00,10000.00,-2850.00,1
556,00,00,12850.00,9950.00,-2900.00,1
557,00,00,12800.00,9950.00,-2850.00,1
558,00,00,12850.00,10000.00,-2850.00,1
559,CE,A4,12850.00,9950.00,-2900.00,0
560,FF,FF,49306400.00,48975150.00,-331250.00,1
561,FF,FF,10950.00,10950.00,0.00,1
562,02,0D,10950.00,11000.00,50.00,0
